req,net_slabs
0,0
1000,214
2000,428
3000,642
4000,857
5000,1071
6000,1285
7000,1500
8000,1714
9000,1928
10000,2143
11000,2143
12000,2143
13000,2143
14000,2143
15000,2143
16000,2143
17000,2143
18000,2143
19000,2143
20000,2143
